ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
220658_s_at,5.193244964,4.844763984,4.945761202,4.859863648,5.096620048,5.101878964
220659_s_at,3.942178939,3.810503656,3.946256278,3.95224225,4.122720025,3.930413459
220661_s_at,5.114360863,4.939350464,5.133009538,4.742761138,4.876235438,4.943684936
220668_s_at,5.745105601,5.425825935,5.629716117,5.85574716,5.504062931,5.574848932
220669_at,3.745897007,4.034861061,3.859918059,4.624896968,4.274153352,4.363870987
220685_at,4.30238998,4.356182631,4.24143521,4.969535219,4.585724262,4.718709811
220688_s_at,7.991970137,8.127051478,7.978917205,7.898241796,8.037214731,7.95540656
220690_s_at,7.593000894,7.526896154,7.565018166,7.867214005,7.586171371,7.760002483
220707_s_at,6.024659716,5.909594504,5.857931764,5.581328305,5.953128874,5.690855083
220721_at,3.678554458,3.819748643,3.790236774,4.166670227,4.19935894,4.06354894
220731_s_at,6.215309649,6.176517638,6.069149292,6.58642457,6.463322875,6.343128152
220734_s_at,5.63104218,5.621292915,5.597699195,5.899834661,5.842398056,5.761175481
220738_s_at,4.206383684,4.099699434,3.967642968,4.413577167,4.401718717,4.285272774
220739_s_at,5.718022085,5.660334238,5.549402849,5.342745101,5.471209374,5.472248636
220741_s_at,8.158028695,7.960520583,8.082700716,8.328219109,8.168803835,8.134490094
220742_s_at,7.476353183,7.304939217,7.251221802,7.41948332,7.355929573,7.302315961
220744_s_at,4.704978623,4.51529083,4.476198176,5.15957567,4.966360791,4.871394046
220746_s_at,7.064635408,6.975347642,6.93614609,7.348600746,7.338785155,7.376269833
