Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
211503_s_at,0.6925052659190529,7.245872815,7.175325279,-0.0705475360000003,0.526723128880686,0.6936869503556224,RAB14,51552
209518_at,-0.6925204334829668,5.80785528,5.783136214,-0.02471906600000029,0.5267145578060722,0.6936869503556224,SMARCD1,6602
238504_at,-0.6923938040602536,5.097104217,5.052090126,-0.045014090999999645,0.5267861182089685,0.6936939064177307,C6orf57,135154
202259_s_at,-0.6922736750219936,4.198009926,4.157767531,-0.04024239499999993,0.526854011609676,0.6936939064177307,N4BP2L2,10443
216212_s_at,-0.6923186884697915,7.989619792,7.779087521,-0.21053227099999994,0.5268285705939434,0.6936939064177307,DKC1 /// MIR664B /// SNORA56,1736 /// 677835 /// 100847052
212658_at,0.6921440445657788,4.731609065,4.741844033,0.010234967999999789,0.5269272820028358,0.6937352511326965,LHFPL2,10184
201379_s_at,0.6920394494109653,7.315020657,7.344278336,0.029257679000000536,0.5269864071640066,0.6937579676068986,TPD52L2,7165
236259_at,0.6919335461080364,4.694705559,4.745664104,0.0509585450000003,0.5270462766581108,0.6937816602803081,STK4,6789
202323_s_at,0.6916840266733542,7.210644025,7.122958925,-0.08768509999999985,0.5271873549120585,0.6939122405098425,ACBD3,64746
222956_at,-0.691427427930955,4.351535612,4.059156116,-0.29237949600000057,0.5273324641603676,0.6940481053835198,FIGN,55137
209760_at,-0.69132423264662,6.263623276,6.099744485,-0.16387879099999925,0.5273908302691089,0.6940697908442308,KIAA0922,23240
201592_at,0.6910744172359871,9.125503508,9.248979267,0.12347575899999974,0.5275321423471634,0.6942006247756454,EIF3H,8667
218537_at,-0.6908803594370694,5.779120159,5.749698797,-0.029421361999999895,0.5276419330438903,0.6942899609755574,HCFC1R1,54985
203776_at,-0.6904489682370695,6.386498025,6.335852097,-0.050645927999999785,0.5278860570562531,0.6945560294898006,GPKOW,27238
213682_at,-0.6902045411769041,8.423036245,8.406165644,-0.016870601000000818,0.5280244142284967,0.6945726039498223,NUP50,10762
214338_at,-0.6902803538300756,4.221854732,4.241517327,0.01966259500000067,0.5279814979239246,0.6945726039498223,DNAJB12,54788
212107_s_at,0.6902519178233939,6.984392537,7.124962423,0.14056988600000064,0.5279975947888255,0.6945726039498223,DHX9,1660
223852_s_at,-0.6900081959890093,5.265474719,5.218979761,-0.04649495800000025,0.5281355736926354,0.6946636755190344,STK40,83931
201709_s_at,-0.6897570162993293,7.211229859,7.203502745,-0.00772711400000059,0.5282778018564118,0.6947955944561746,NIPSNAP1,8508
217608_at,0.689535273271595,4.645464085,4.481019991,-0.16444409400000026,0.5284033846639464,0.6949056020713491,SREK1IP1,285672
228653_at,0.6891485250559889,4.841954998,4.982020183,0.1400651850000001,0.5286224684897347,0.6951385460640012,SAMD5,389432
